"VL_PGTO","MUNICIPIO","CD_GR_CLASSE_CONTABIL","NM_GR_CLASSE_CONTABIL","ANO","DS_MES","NU_MES","SK_LOCALIDAD"
202605.17,AgronÃ´mica,51,IPVA,2022,MARÃO,3,3913
26772.17,AgronÃ´mica,27,ITCMD,2022,MARÃO,3,3913
1216.76,AgronÃ´mica,78,OUTRAS RECEITAS,2022,MARÃO,3,3913
4088.21,AgronÃ´mica,94,OUTRAS RECEITAS,2022,MARÃO,3,3913
685430.23,AgronÃ´mica,43,ICMS,2022,ABRIL,4,3913
180927.96,AgronÃ´mica,51,IPVA,2022,ABRIL,4,3913
15559.85,AgronÃ´mica,27,ITCMD,2022,ABRIL,4,3913
362.76,AgronÃ´mica,78,OUTRAS RECEITAS,2022,ABRIL,4,3913
15791.87,AgronÃ´mica,94,OUTRAS RECEITAS,2022,ABRIL,4,3913
1563053.6,AgronÃ´mica,43,ICMS,2022,MAIO,5,3913
219750.71,AgronÃ´mica,51,IPVA,2022,MAIO,5,3913
5098,AgronÃ´mica,27,ITCMD,2022,MAIO,5,3913
703.19,AgronÃ´mica,78,OUTRAS RECEITAS,2022,MAIO,5,3913
595.36,AgronÃ´mica,86,OUTRAS RECEITAS,2022,MAIO,5,3913
4016.34,AgronÃ´mica,94,OUTRAS RECEITAS,2022,MAIO,5,3913
544168.42,AgronÃ´mica,43,ICMS,2022,JUNHO,6,3913
218925.9,AgronÃ´mica,51,IPVA,2022,JUNHO,6,3913
8762.24,AgronÃ´mica,27,ITCMD,2022,JUNHO,6,3913
326.16,AgronÃ´mica,78,OUTRAS RECEITAS,2022,JUNHO,6,3913
2434.5,AgronÃ´mica,86,OUTRAS RECEITAS,2022,JUNHO,6,3913
4613.12,AgronÃ´mica,94,OUTRAS RECEITAS,2022,JUNHO,6,3913
1023172.6,AgronÃ´mica,43,ICMS,2022,JULHO,7,3913
190552.97,AgronÃ´mica,51,IPVA,2022,JULHO,7,3913
7427,AgronÃ´mica,27,ITCMD,2022,JULHO,7,3913
125.69,AgronÃ´mica,78,OUTRAS RECEITAS,2022,JULHO,7,3913
1361.03,AgronÃ´mica,86,OUTRAS RECEITAS,2022,JULHO,7,3913
7173.12,AgronÃ´mica,94,OUTRAS RECEITAS,2022,JULHO,7,3913
1135.2,AgronÃ´mica,43,ICMS,2022,AGOSTO,8,3913
58531.22,AgronÃ´mica,51,IPVA,2022,AGOSTO,8,3913
183.6,AgronÃ´mica,78,OUTRAS RECEITAS,2022,AGOSTO,8,3913
232,AgronÃ´mica,94,OUTRAS RECEITAS,2022,AGOSTO,8,3913
414442.13,Alfredo Wagner,43,ICMS,2022,JANEIRO,1,3984
216698.17,Alfredo Wagner,51,IPVA,2022,JANEIRO,1,3984
16894.07,Alfredo Wagner,27,ITCMD,2022,JANEIRO,1,3984
568.2,Alfredo Wagner,78,OUTRAS RECEITAS,2022,JANEIRO,1,3984
1150,Alfredo Wagner,86,OUTRAS RECEITAS,2022,JANEIRO,1,3984
7077.32,Alfredo Wagner,94,OUTRAS RECEITAS,2022,JANEIRO,1,3984
407828.12,Alfredo Wagner,43,ICMS,2022,FEVEREIRO,2,3984
239391.74,Alfredo Wagner,51,IPVA,2022,FEVEREIRO,2,3984
16185.61,Alfredo Wagner,27,ITCMD,2022,FEVEREIRO,2,3984
678.31,Alfredo Wagner,78,OUTRAS RECEITAS,2022,FEVEREIRO,2,3984
330,Alfredo Wagner,86,OUTRAS RECEITAS,2022,FEVEREIRO,2,3984
19324.73,Alfredo Wagner,94,OUTRAS RECEITAS,2022,FEVEREIRO,2,3984
327999.53,Alfredo Wagner,43,ICMS,2022,MARÃO,3,3984
354480.86,Alfredo Wagner,51,IPVA,2022,MARÃO,3,3984
22681.77,Alfredo Wagner,27,ITCMD,2022,MARÃO,3,3984
1071.49,Alfredo Wagner,78,OUTRAS RECEITAS,2022,MARÃO,3,3984
440,Alfredo Wagner,86,OUTRAS RECEITAS,2022,MARÃO,3,3984
6499.6,Alfredo Wagner,94,OUTRAS RECEITAS,2022,MARÃO,3,3984
318763.43,Alfredo Wagner,43,ICMS,2022,ABRIL,4,3984
300530.79,Alfredo Wagner,51,IPVA,2022,ABRIL,4,3984
45455.14,Alfredo Wagner,27,ITCMD,2022,ABRIL,4,3984
802.49,Alfredo Wagner,78,OUTRAS RECEITAS,2022,ABRIL,4,3984
1283.32,Alfredo Wagner,86,OUTRAS RECEITAS,2022,ABRIL,4,3984
5699.61,Alfredo Wagner,94,OUTRAS RECEITAS,2022,ABRIL,4,3984
356415.58,Alfredo Wagner,43,ICMS,2022,MAIO,5,3984
377005.71,Alfredo Wagner,51,IPVA,2022,MAIO,5,3984
81155.23,Alfredo Wagner,27,ITCMD,2022,MAIO,5,3984
1588.91,Alfredo Wagner,78,OUTRAS RECEITAS,2022,MAIO,5,3984
717.01,Alfredo Wagner,86,OUTRAS RECEITAS,2022,MAIO,5,3984
4282.19,Alfredo Wagner,94,OUTRAS RECEITAS,2022,MAIO,5,3984
391122,Alfredo Wagner,43,ICMS,2022,JUNHO,6,3984
315622.93,Alfredo Wagner,51,IPVA,2022,JUNHO,6,3984
96333.2,Alfredo Wagner,27,ITCMD,2022,JUNHO,6,3984
1281.97,Alfredo Wagner,78,OUTRAS RECEITAS,2022,JUNHO,6,3984
1103.26,Alfredo Wagner,86,OUTRAS RECEITAS,2022,JUNHO,6,3984
4573.37,Alfredo Wagner,94,OUTRAS RECEITAS,2022,JUNHO,6,3984
373837.79,Alfredo Wagner,43,ICMS,2022,JULHO,7,3984
247132.49,Alfredo Wagner,51,IPVA,2022,JULHO,7,3984
30729.58,Alfredo Wagner,27,ITCMD,2022,JULHO,7,3984
1051.46,Alfredo Wagner,78,OUTRAS RECEITAS,2022,JULHO,7,3984
1168.24,Alfredo Wagner,86,OUTRAS RECEITAS,2022,JULHO,7,3984
4913.89,Alfredo Wagner,94,OUTRAS RECEITAS,2022,JULHO,7,3984
8114.53,Alfredo Wagner,43,ICMS,2022,AGOSTO,8,3984
55011.87,Alfredo Wagner,51,IPVA,2022,AGOSTO,8,3984
4575,Alfredo Wagner,27,ITCMD,2022,AGOSTO,8,3984
44.79,Alfredo Wagner,78,OUTRAS RECEITAS,2022,AGOSTO,8,3984
783.33,Alfredo Wagner,86,OUTRAS RECEITAS,2022,AGOSTO,8,3984
1320.47,Alfredo Wagner,94,OUTRAS RECEITAS,2022,AGOSTO,8,3984
146357.58,Alto Bela Vista,43,ICMS,2022,JANEIRO,1,4145
47111.96,Alto Bela Vista,51,IPVA,2022,JANEIRO,1,4145
166.7,Alto Bela Vista,27,ITCMD,2022,JANEIRO,1,4145
276.04,Alto Bela Vista,78,OUTRAS RECEITAS,2022,JANEIRO,1,4145
1424.27,Alto Bela Vista,94,OUTRAS RECEITAS,2022,JANEIRO,1,4145
141964.06,Alto Bela Vista,43,ICMS,2022,FEVEREIRO,2,4145
55292.77,Alto Bela Vista,51,IPVA,2022,FEVEREIRO,2,4145
135.1,Alto Bela Vista,27,ITCMD,2022,FEVEREIRO,2,4145
166.08,Alto Bela Vista,78,OUTRAS RECEITAS,2022,FEVEREIRO,2,4145
1685.19,Alto Bela Vista,94,OUTRAS RECEITAS,2022,FEVEREIRO,2,4145
116891.68,Alto Bela Vista,43,ICMS,2022,MARÃO,3,4145
63041.35,Alto Bela Vista,51,IPVA,2022,MARÃO,3,4145
460.78,Alto Bela Vista,78,OUTRAS RECEITAS,2022,MARÃO,3,4145
3702.41,Alto Bela Vista,94,OUTRAS RECEITAS,2022,MARÃO,3,4145
213792.73,Alto Bela Vista,43,ICMS,2022,ABRIL,4,4145
70007.06,Alto Bela Vista,51,IPVA,2022,ABRIL,4,4145
5687.5,Alto Bela Vista,27,ITCMD,2022,ABRIL,4,4145
397.68,Alto Bela Vista,78,OUTRAS RECEITAS,2022,ABRIL,4,4145
2667.56,Alto Bela Vista,94,OUTRAS RECEITAS,2022,ABRIL,4,4145
98645.68,Alto Bela Vista,43,ICMS,2022,MAIO,5,4145
85342.43,Alto Bela Vista,51,IPVA,2022,MAIO,5,4145
160,Alto Bela Vista,27,ITCMD,2022,MAIO,5,4145
44.79,Alto Bela Vista,78,OUTRAS RECEITAS,2022,MAIO,5,4145
3242.87,Alto Bela Vista,86,OUTRAS RECEITAS,2022,MAIO,5,4145
1747.87,Alto Bela Vista,94,OUTRAS RECEITAS,2022,MAIO,5,4145
98112.48,Alto Bela Vista,43,ICMS,2022,JUNHO,6,4145
78077.6,Alto Bela Vista,51,IPVA,2022,JUNHO,6,4145
3019.4,Alto Bela Vista,86,OUTRAS RECEITAS,2022,JUNHO,6,4145
774.19,Alto Bela Vista,94,OUTRAS RECEITAS,2022,JUNHO,6,4145
305777.65,Alto Bela Vista,43,ICMS,2022,JULHO,7,4145
48742.77,Alto Bela Vista,51,IPVA,2022,JULHO,7,4145
361.1,Alto Bela Vista,27,ITCMD,2022,JULHO,7,4145
284.77,Alto Bela Vista,78,OUTRAS RECEITAS,2022,JULHO,7,4145
4149.12,Alto Bela Vista,86,OUTRAS RECEITAS,2022,JULHO,7,4145
3092.99,Alto Bela Vista,94,OUTRAS RECEITAS,2022,JULHO,7,4145
209.44,Alto Bela Vista,43,ICMS,2022,AGOSTO,8,4145
16179.03,Alto Bela Vista,51,IPVA,2022,AGOSTO,8,4145
559.95,Alto Bela Vista,94,OUTRAS RECEITAS,2022,AGOSTO,8,4145
250815.85,Anchieta,43,ICMS,2022,JANEIRO,1,4508
161168.92,Anchieta,51,IPVA,2022,JANEIRO,1,4508
7697.79,Anchieta,27,ITCMD,2022,JANEIRO,1,4508
569.71,Anchieta,78,OUTRAS RECEITAS,2022,JANEIRO,1,4508
1190,Anchieta,94,OUTRAS RECEITAS,2022,JANEIRO,1,4508
303989.11,Anchieta,43,ICMS,2022,FEVEREIRO,2,4508
124549.19,Anchieta,51,IPVA,2022,FEVEREIRO,2,4508
2844.5,Anchieta,27,ITCMD,2022,FEVEREIRO,2,4508
458.73,Anchieta,78,OUTRAS RECEITAS,2022,FEVEREIRO,2,4508
2409.42,Anchieta,94,OUTRAS RECEITAS,2022,FEVEREIRO,2,4508
323027.4,Anchieta,43,ICMS,2022,MARÃO,3,4508
249498.49,Anchieta,51,IPVA,2022,MARÃO,3,4508
3285.25,Anchieta,27,ITCMD,2022,MARÃO,3,4508
781.34,Anchieta,78,OUTRAS RECEITAS,2022,MARÃO,3,4508
400,Anchieta,86,OUTRAS RECEITAS,2022,MARÃO,3,4508
12226.19,Anchieta,94,OUTRAS RECEITAS,2022,MARÃO,3,4508
443714.54,Anchieta,43,ICMS,2022,ABRIL,4,4508
177465.37,Anchieta,51,IPVA,2022,ABRIL,4,4508
20366.34,Anchieta,27,ITCMD,2022,ABRIL,4,4508
1158.74,Anchieta,78,OUTRAS RECEITAS,2022,ABRIL,4,4508
2955.53,Anchieta,94,OUTRAS RECEITAS,2022,ABRIL,4,4508
372057.96,Anchieta,43,ICMS,2022,MAIO,5,4508
235726.52,Anchieta,51,IPVA,2022,MAIO,5,4508
8990.29,Anchieta,27,ITCMD,2022,MAIO,5,4508
806.39,Anchieta,78,OUTRAS RECEITAS,2022,MAIO,5,4508
1128.28,Anchieta,86,OUTRAS RECEITAS,2022,MAIO,5,4508
2056.27,Anchieta,94,OUTRAS RECEITAS,2022,MAIO,5,4508
465092.49,Anchieta,43,ICMS,2022,JUNHO,6,4508
