DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;NM_SOCIAL_CANDIDATO;CD_SITUACAO_CANDIDATURA;DS_SITUACAO_CANDIDATURA;CD_DETALHE_SITUACAO_CAND;DS_DETALHE_SITUACAO_CAND;CD_SITUACAO_JULGAMENTO;DS_SITUACAO_JULGAMENTO;CD_SITUACAO_CASSACAO;DS_SITUACAO_CASSACAO;CD_SITUACAO_DCONST_DIPLOMA;DS_SITUACAO_DCONST_DIPLOMA;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NR_FEDERACAO;NM_FEDERACAO;SG_FEDERACAO;DS_COMPOSICAO_FEDERACAO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;ST_VOTO_EM_TRANSITO;QT_VOTOS_NOMINAIS;NM_TIPO_DESTINACAO_VOTOS;QT_VOTOS_NOMINAIS_VALIDOS;CD_SIT_TOT_TURNO;DS_SIT_TOT_TURNO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;80209;TIMBÓ GRANDE;51;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;612;Válido;612;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;80861;IRATI;78;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;201;Válido;201;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;81035;FAXINAL DOS GUEDES;43;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;1222;Válido;1222;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;80551;BRUSQUE;5;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;2493;Válido;2493;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;81205;SANTIAGO DO SUL;78;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;174;Válido;174;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;82490;PETROLÂNDIA;39;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;565;Válido;565;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;80446;SUL BRASIL;83;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;338;Válido;338;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;83232;SÃO JOÃO DO SUL;54;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;513;Válido;513;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;80950;DESCANSO;45;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;474;Válido;474;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;81272;GUARAMIRIM;60;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;2305;Válido;2305;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;80616;CAMBORIÚ;103;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;5360;Válido;5360;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;81183;SÃO PEDRO DE ALCÂNTARA;29;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;559;Válido;559;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;81434;IMBITUBA;73;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;3410;Válido;3410;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;80870;CORUPÁ;87;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;916;Válido;916;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;80284;SERRA ALTA;83;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;388;Válido;388;4;NÃO ELEITO
20/04/2026;03:31:04;2022;2;Eleição Ordinária;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;SC;SC;SANTA CATARINA;82279;NOVA VENEZA;98;5;Senador;240001620979;551;JOÃO RAIMUNDO COLOMBO;RAIMUNDO COLOMBO;#NULO;12;APTO;2;DEFERIDO;-3;#NE;-3;#NE;-3;#NE;COLIGAÇÃO;55;PSD;Partido Social Democrático;-1;#NULO#;#NULO#;#NULO#;240001682240;BORA TRABALHAR;PATRIOTA / PSD / UNIÃO;N;1290;Válido;1290;4;NÃO ELEITO
